,id, nickname, score, useful_num, time, content
10,1220697086.0,  九幽第一少,  40,  10875,  2017-07-27 07:20:09,  这部戏让人看的热血沸腾，对吴京路转粉，最后的彩蛋，让我们没有理由不期待下一部。
11,1222579592.0,  张佳玮,  40,  5549,  2017-07-31 09:48:28,  开头的水下长对决戏可算华语电影的顶尖存在；驱逐舰、导弹和坦克在商业片里这么狂用也是了得；镜头运用和笑点插入都很好莱坞爆米花，不功不过；从头打到尾是真拼，虽然镜头也有略乱时；因为没啥期望值，所以被吴京的野心吓了一跳；吴刚、于谦和丁海峰老三位像炖烂熟的牛筋，嚼着就舒服。
12,1221200648.0,  格拉比,  10,  3824,  2017-07-28 11:42:21,  片头海里那场动作戏看完就呆不下去了，太假太做作，提前离场。
13,1220667524.0,  丝米,  20,  3877,  2017-07-27 01:18:51,  就是一部爽片，打戏挺燃，但是故事一般。达康书记不合适这个角色，赵东来倒是很合适。张瀚太太太违和了，分分钟穿越回偶像剧。
14,1221117241.0,  CobraCB,  20,  3203,  2017-07-28 05:08:09,  说喜欢这部片子的人不是装傻就是真傻，要不是真的没有别的可看肯定是不会选这部的，直男癌到令人发指，所有剧情走向也完全是九十年代那套照搬，审美这件事儿真不是一时半会儿能培养出来的。
15,1219231666.0,  虎哥,  20,  2848,  2017-07-23 20:18:32,  目瞪狗呆！太瘠薄好看了！中国人牛b就是硬道理！（别再用标记日期骂我了朋友们北京时间23号晚上首映礼看的我谢谢你们啊哈哈哈哈哈
16,1220630837.0,  结冰,  30,  3350,  2017-07-26 23:39:31,  心往一处想，劲往一处使，就能实现我们的梦想。看吧，比第一部好太多了。谢谢美队的动作指导。
17,1220917607.0,  搬砖侠,  20,  2707,  2017-07-27 18:29:02,  扪心自问这种电影真没法评价，全片靠动作戏撑完，文戏都是扯淡，女主角毫无存在的必要，故事不需要逻辑只要主角开挂，但牛逼之处在于全片都透露着极强烈的爱国主义光环和意识形态枷锁，在祖国面前，一切反动派都是纸老虎，所以战狼一个人开挂团灭一个连都是合情合理的，动作戏还不错，挺用心，两星鼓励
18,1220961216.0,  夜游,  40,  4110,  2017-07-27 20:32:24,  很用心啊吴京导演，小看你了，确实在导演上下功夫了拉片子了，知道借鉴是好的。至于大家比较反感的小粉红情绪我觉得那些桥段都是主旋律必备啊是稍微有一点过但还可以接受。最好的地方是吴京节奏掌握得很好，知道张弛有度，这点很难得。
19,1221813771.0,  杨清宇,  20,  1444,  2017-07-29 18:56:16,  吴迪塞尔如入无人之境，7亿大陆直男在这一刻集体勃起。心往一处想，劲往一处使，你就能离开影厅不是个屌丝了？
20,1221000631.0,  痞影人科莱昂,  20,  1820,  2017-07-27 22:01:08,  符合“有钱了续集反而拍更差”这一放之四海而皆准的规律，场面越做越大，然而伴随着各种动作场面和特效场面的升级，这一部的叙事反而变得非常凌乱。格局颇大，想拍成《黑鹰坠落》，结果撑死最多也只是官方主旋律版的《敢死队》。吴京确实有野心，但论自我角色定位能力远不如同是动作演员出身的甄子丹。
21,1221464228.0,  秦汧,  10,  1476,  2017-07-28 22:46:43,  典型美国大片的方式，每次都能猜对剧情，没劲诶~我就想问，王牌特工就那么点杀人的镜头，还经过艺术处理，都直接删了，战狼2这种血腥屠杀的镜头，赤裸裸的，大段大段的，是怎么过的？政治正确就有庇衣了？（水军他垃圾，动不动豆油过来骂傻逼，就冲这个给一星，不服来战）
22,1210444017.0,  甜心,  40,  3337,  2017-07-27 08:41:47,  犯我中华者虽远必诛，这句话一直在我脑子里回响
23,1209799848.0,  浅夏安然,  40,  3193,  2017-07-27 10:07:11,  好看，这部戏让人看的热血沸腾，打戏挺燃的，吴京演技棒呆了
24,1188087927.0,  裴秀智,  50,  3540,  2017-07-27 09:30:40,  吴京厉害了，身为武打演员，能拍到这么高标准的大场面的枪战戏，为你点赞。热血男儿，荷尔蒙爆发！
25,1220839024.0,  苏筱兀,  50,  2756,  2017-07-27 15:05:44,  太喜欢《战狼2》开场6分钟长镜头的水下搏斗戏了！从来没有在其它任何一部电影里看到过，因为拍摄难度真的不一般，同时还对演员有各种技能方面的要求。看完片子回来搜了下，被吴京会游泳、潜水、滑雪、开飞机、开坦克、射击等各项技能，还特意去特种部队当过18个月兵…真的很佩服这样的电影人！
26,1220703226.0,  丢丢,  40,  2308,  2017-07-27 08:10:26,  整部电影延续1的风格，热血。场面比1来的要大，打戏动作不错，吴京挺适合演军人的，电影之前的中国梦片段他都念的劲儿劲儿的。整体来说还不错，不过张翰太违和了，一出来就一股雷阵雨的画风。
27,1219636520.0,  我要复仇,  40,  2663,  2017-07-24 17:40:44,  《战狼2》的动作场景和战斗装备全线升级，热血的打斗动作从头打到尾。《战狼2》游走在电影审查红线的边界和政治安全的缝隙，是部延续了第一部极具煽动爱国情绪的国产动作大片。如此制作精良的影片，还请多来一点。
28,1220711590.0,  蛋蛋的忧伤,  40,  2417,  2017-07-27 08:57:12,  火爆的场面拍出了好莱坞大片的感觉，本片必将燃爆暑期
29,1172179536.0,  圣墟,  30,  1215,  2017-07-27 09:01:53,  电影用的胶卷挺差的，故事过度也差，地方部队还没太多展示就死去，反正各种问题。但就是能吸引人看下去，就冲这，为什么要这么鄙视敢想敢去开拓的人，不允许他们再去拍，直到能有更好的人，拍出更棒的更出彩的电影来呢？
30,1221901397.0,  Yu Luan,  50,  1725,  2017-07-29 22:07:11,  已三刷。不明白为什么会有人说中二和吴京意淫。这种类型的电影肯定要有一个英雄人物带动情节的发展。真的好看，全场无尿点。谁会希望有战乱，一些人或群体为了自己的私人利益，发动战争，但这苦的可是手无寸铁之力的民众，祈求一个永远也实现不了的愿望：世界和平。黑子跪久了都站不起来了，5分力荐！
31,1223497848.0,  芦哲峰,  10,  996,  2017-08-02 10:14:07,  都说吴京打得精彩，看得我无精打采。用弹簧床接火箭炮，绝对是义和团用肉身挡子弹的升级版，比局座的“雾霾防激光、海带缠潜艇”的言论更牛逼、更震撼。
